,processor,amount,original_currency,target_currency,fx,transaction_status,transaction_start_date,transaction_end_date,duration,transaction_profit,pyr_id,pye_id,ppid,country,payee_satisfaction,payor_satisfaction,overall_satisfaction
0,1,2437.87,978,986,1,0,2019-03-03T12:00:00Z,2019-03-11T12:00:00Z,4,6.689350000000019,288891159363,288891159106,280284447043,76,0,0,0
1,1,1669.81,410,840,1,0,2019-03-07T15:00:00Z,2019-03-15T12:00:00Z,4,16.53772,280284447042,288857735745,288857736002,410,1,1,0
2,1,1293.18,484,484,0,0,2019-03-02T19:00:00Z,2019-03-11T12:00:00Z,5,-13.84544,280301355329,288874447683,284579545923,410,1,0,0
3,2,4594.99,986,840,1,1,2019-03-02T19:00:00Z,2019-03-10T12:00:00Z,4,19.56994000000003,284562637123,284562637377,288857669955,356,0,0,1
4,2,2957.17,156,356,1,1,2019-03-03T12:00:00Z,2019-03-12T12:00:00Z,5,4.392925000000005,288857604418,284596322881,288874447426,484,1,1,1
5,2,2491.42,986,356,1,0,2019-03-03T12:00:00Z,2019-04-15T12:00:00Z,25,18.9142,280301224513,284596257602,284596322883,156,0,1,0
6,2,1141.39,484,156,1,0,2019-03-03T00:00:00Z,2019-03-10T12:00:00Z,4,7.413900000000002,288891158850,288891159362,280267670339,276,1,1,1
7,3,2380.18,484,978,1,1,2019-03-03T12:00:00Z,2019-03-11T12:00:00Z,4,35.22341999999999,288874513219,288874381633,288874447427,356,1,0,1
8,2,1485.24,978,840,1,1,2019-03-03T00:00:00Z,2019-03-13T12:00:00Z,6,3.1835800000000063,280267735363,280284512833,280301289794,76,1,1,1
9,2,4440.97,978,978,0,1,2019-03-03T12:00:00Z,2019-03-15T12:00:00Z,7,-69.61455000000001,284562637121,280267669827,284562703171,484,1,1,1
10,1,3729.46,986,840,1,0,2019-03-06T01:00:00Z,2019-03-14T12:00:00Z,4,79.54812000000001,288874513219,284562637635,284579414337,250,0,0,1
11,3,4579.54,156,410,1,1,2019-03-06T01:00:00Z,2019-04-11T12:00:00Z,21,9.159080000000003,280267800899,284579545409,284596191809,840,0,0,0
12,2,279.52,484,156,1,1,2019-03-03T12:00:00Z,2019-04-15T12:00:00Z,25,-6.322879999999996,288874513217,288874381633,288874447427,356,1,1,1
13,2,2758.69,840,156,1,1,2019-03-03T12:00:00Z,2019-03-15T12:00:00Z,7,8.552140000000009,288857735490,288874447683,288857670466,356,1,1,0
14,1,2284.46,156,484,1,1,2019-03-03T00:00:00Z,2019-03-10T12:00:00Z,4,5.922300000000021,284596192065,284579545665,280267801154,76,1,1,1
15,3,2964.86,156,484,1,1,2019-03-03T00:00:00Z,2019-03-15T12:00:00Z,7,19.73645000000002,288874513217,284579545665,288857735747,410,1,1,1
16,1,241.84,356,356,0,1,2019-03-07T15:00:00Z,2019-04-12T12:00:00Z,21,-4.2092,284562637121,284562768193,288874512705,156,1,1,1
17,3,1303.52,484,356,1,1,2019-03-06T01:00:00Z,2019-03-15T12:00:00Z,5,-16.94576,288891224899,280284578626,284596257347,156,0,1,0
